Date;Object A;Type A;Object B;Type B;Direction;Color;Intensity;LatitudeA;LongitudeA;LatitudeB;LongitudeB
01.01.2018;B;Type1;C;Type2;in;#00008B;27;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;27;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;27;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;27;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;27;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;27;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;27;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;27;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;27;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;28;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;28;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;28;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;28;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;28;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;28;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;28;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;28;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;28;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;29;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;29;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;29;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;29;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;29;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;29;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;29;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;29;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;29;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;30;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;30;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;30;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;30;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;30;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;30;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;30;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;30;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;30;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;31;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;31;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;31;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;31;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;31;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;31;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;31;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;31;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;31;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;32;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;32;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;32;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;32;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;32;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;32;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;32;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;32;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;32;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;33;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;33;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;33;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;33;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;33;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;33;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;33;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;33;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;33;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;34;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;34;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;34;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;34;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;34;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;34;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;34;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;34;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;34;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;35;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;35;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;35;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;35;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;35;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;35;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;35;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;35;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;35;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;36;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;36;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;36;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;36;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;36;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;36;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;36;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;36;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;36;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;37;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;37;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;37;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;37;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;37;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;37;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;37;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;37;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;37;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;38;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;38;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;38;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;38;60.023898;30.406769;60.015158;30.391641
